,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_util,total_acc,int_rate_groups,open_acc_groups,revol_util_groups,total_acc_groups,annual_inc_groups,installment_groups,loan_amnt_groups
23593,2500,2500, 60 months,12.98,56.86,C,C3,10,RENT,70000.0,Not Verified,Nov-10,Charged Off,small_business,4.1,Jan-95,0,5,0,23.8,16,9%-13%,2-10,20-40,2-20,58k-85k,14-145,0-5k
23596,25000,25000, 36 months,17.8,901.31,F,F1,10,MORTGAGE,80000.0,Verified,Nov-10,Charged Off,debt_consolidation,8.92,Aug-95,1,18,0,56.4,27,17%-21%,10-19,40-60,20-37,85k-112k,789-918,20k-25k
23617,10000,10000, 36 months,12.61,335.07,C,C2,7,OWN,30000.0,Source Verified,Nov-10,Charged Off,debt_consolidation,18.64,Jun-95,0,6,0,96.0,14,9%-13%,2-10,80-100,2-20,31k-58k,274-403,5k-10k
23633,12000,12000, 60 months,16.32,293.87,E,E2,2,RENT,63000.0,Not Verified,Nov-10,Charged Off,debt_consolidation,19.52,Apr-00,2,6,0,80.3,31,13%-17%,2-10,80-100,20-37,58k-85k,274-403,10k-15k
23659,25000,16300, 60 months,17.43,408.88,E,E5,2,MORTGAGE,108000.0,Verified,Nov-10,Charged Off,other,24.87,Feb-91,1,20,0,86.7,37,17%-21%,19-27,80-100,37-55,112k-140k,403-531,20k-25k
23660,20000,20000, 60 months,19.29,522.01,F,F5,8,RENT,72396.0,Not Verified,Nov-10,Charged Off,debt_consolidation,12.46,Jun-00,2,8,0,53.0,19,17%-21%,2-10,40-60,2-20,85k-112k,403-531,15k-20k
23661,10000,10000, 36 months,21.14,377.47,G,G5,2,MORTGAGE,108000.0,Source Verified,Nov-10,Charged Off,debt_consolidation,16.33,Jun-97,1,30,1,78.5,47,21%-24%,27-36,60-80,37-55,112k-140k,274-403,5k-10k
23667,5000,5000, 36 months,9.25,159.59,B,B2,3,RENT,39996.0,Not Verified,Nov-10,Charged Off,other,21.93,Oct-98,0,12,0,82.8,22,9%-13%,10-19,80-100,20-37,31k-58k,145-274,0-5k
23668,12000,12000, 36 months,10.36,389.24,B,B5,4,RENT,42000.0,Source Verified,Nov-10,Charged Off,small_business,20.29,Jan-94,1,16,0,56.5,16,9%-13%,10-19,40-60,2-20,31k-58k,274-403,10k-15k
23676,14000,14000, 60 months,15.2,334.54,D,D4,10,MORTGAGE,80000.0,Source Verified,Nov-10,Charged Off,debt_consolidation,19.32,Jan-96,3,13,1,92.2,28,13%-17%,10-19,80-100,20-37,85k-112k,274-403,10k-15k
23680,3000,3000, 36 months,14.46,103.21,D,D2,10,MORTGAGE,36576.0,Source Verified,Nov-10,Charged Off,home_improvement,21.35,Sep-99,0,3,0,0.0,7,13%-17%,2-10,0-20,2-20,31k-58k,14-145,0-5k
23686,3000,3000, 36 months,14.09,102.67,D,D1,2,RENT,42000.0,Verified,Nov-10,Charged Off,debt_consolidation,5.06,Apr-03,2,5,0,39.5,15,13%-17%,2-10,20-40,2-20,31k-58k,14-145,0-5k
23689,15000,15000, 60 months,9.62,315.91,B,B3,2,OWN,43200.0,Verified,Nov-10,Charged Off,car,1.08,Apr-05,3,4,0,13.9,7,9%-13%,2-10,0-20,2-20,31k-58k,274-403,10k-15k
23697,12000,12000, 60 months,14.46,282.09,D,D2,10,RENT,85000.0,Not Verified,Nov-10,Charged Off,debt_consolidation,2.2,Sep-96,2,8,0,29.1,10,13%-17%,2-10,20-40,2-20,85k-112k,274-403,10k-15k
23701,9900,9900, 60 months,9.99,210.3,B,B4,7,OWN,22500.0,Verified,Nov-10,Charged Off,debt_consolidation,10.72,Oct-00,0,4,0,47.2,8,9%-13%,2-10,40-60,2-20,3k-31k,145-274,5k-10k
23706,4200,4200, 60 months,9.99,89.22,B,B4,0,OWN,20004.0,Verified,Nov-10,Charged Off,other,2.7,Dec-04,0,6,0,13.9,6,9%-13%,2-10,0-20,2-20,3k-31k,14-145,0-5k
23715,12000,12000, 60 months,12.61,270.65,C,C2,5,RENT,45000.0,Verified,Nov-10,Charged Off,debt_consolidation,22.69,Apr-93,0,5,0,97.2,18,9%-13%,2-10,80-100,2-20,31k-58k,145-274,10k-15k
23743,25000,20775, 60 months,10.36,445.1,B,B5,10,MORTGAGE,99996.0,Source Verified,Nov-10,Charged Off,debt_consolidation,15.78,Dec-90,3,8,0,53.1,21,9%-13%,2-10,40-60,20-37,112k-140k,403-531,20k-25k
23744,16000,16000, 60 months,15.2,382.33,D,D4,5,RENT,80000.0,Source Verified,Nov-10,Charged Off,debt_consolidation,13.99,Jan-98,0,6,0,86.2,14,13%-17%,2-10,80-100,2-20,85k-112k,274-403,15k-20k
23746,2000,2000, 60 months,17.06,49.77,E,E4,0,RENT,48000.0,Source Verified,Nov-10,Charged Off,major_purchase,15.05,Mar-99,1,3,0,99.9,22,17%-21%,2-10,80-100,20-37,31k-58k,14-145,0-5k
23763,10000,10000, 60 months,15.2,238.96,D,D4,5,MORTGAGE,75000.0,Not Verified,Nov-10,Charged Off,wedding,17.68,Jan-00,0,13,0,68.7,28,13%-17%,10-19,60-80,20-37,85k-112k,145-274,5k-10k
23770,4000,4000, 60 months,12.23,89.45,C,C1,5,MORTGAGE,113004.0,Not Verified,Nov-10,Charged Off,other,2.63,Dec-97,0,5,0,90.0,20,9%-13%,2-10,80-100,20-37,112k-140k,14-145,0-5k
23776,8000,6200, 36 months,6.54,190.14,A,A4,2,RENT,113300.0,Verified,Nov-10,Charged Off,vacation,12.75,Nov-02,0,20,0,57.7,45,5%-9%,19-27,40-60,37-55,112k-140k,145-274,5k-10k
23791,5000,5000, 36 months,6.91,154.18,A,A5,2,RENT,14400.0,Verified,Nov-10,Charged Off,debt_consolidation,8.5,Mar-99,3,4,0,75.9,13,5%-9%,2-10,60-80,2-20,3k-31k,145-274,0-5k
23794,18250,18250, 60 months,16.32,446.92,E,E2,10,RENT,52000.0,Source Verified,Nov-10,Charged Off,debt_consolidation,23.19,Nov-98,2,8,0,94.7,28,13%-17%,2-10,80-100,20-37,58k-85k,403-531,15k-20k
23844,3000,3000, 60 months,6.54,58.76,A,A4,7,OWN,50000.0,Source Verified,Nov-10,Charged Off,vacation,6.34,Feb-92,2,6,0,31.1,23,5%-9%,2-10,20-40,20-37,58k-85k,14-145,0-5k
23848,25000,19200, 60 months,19.66,505.06,G,G1,5,OWN,85000.0,Verified,Nov-10,Charged Off,debt_consolidation,21.33,Feb-03,1,9,0,47.6,19,17%-21%,2-10,40-60,2-20,85k-112k,403-531,20k-25k
23859,6500,6500, 60 months,12.23,145.35,C,C1,8,MORTGAGE,39996.0,Not Verified,Nov-10,Charged Off,debt_consolidation,18.99,Sep-03,3,13,0,23.9,21,9%-13%,10-19,20-40,20-37,31k-58k,145-274,5k-10k
23861,20000,13050, 60 months,9.99,277.21,B,B4,10,MORTGAGE,55000.0,Verified,Nov-10,Charged Off,debt_consolidation,21.45,Nov-95,1,8,0,54.7,33,9%-13%,2-10,40-60,20-37,58k-85k,274-403,15k-20k
23882,9000,9000, 36 months,13.72,306.38,C,C5,5,MORTGAGE,69000.0,Not Verified,Nov-10,Charged Off,credit_card,13.58,Aug-85,1,8,0,92.6,16,13%-17%,2-10,80-100,2-20,58k-85k,274-403,5k-10k
23914,2000,2000, 36 months,6.17,61.0,A,A3,10,OWN,51996.0,Verified,Nov-10,Charged Off,other,17.06,Jan-88,1,8,0,66.3,45,5%-9%,2-10,60-80,37-55,58k-85k,14-145,0-5k
23915,2500,2500, 36 months,8.88,79.36,B,B1,10,MORTGAGE,32400.0,Not Verified,Nov-10,Charged Off,renewable_energy,19.44,Sep-90,0,13,0,9.0,33,5%-9%,10-19,0-20,20-37,31k-58k,14-145,0-5k
23934,1200,1200, 36 months,12.98,40.43,C,C3,2,MORTGAGE,48000.0,Verified,Oct-10,Charged Off,home_improvement,17.75,Sep-00,2,21,0,82.5,43,9%-13%,19-27,80-100,37-55,31k-58k,14-145,0-5k
23941,7000,7000, 36 months,8.88,222.21,B,B1,3,RENT,62500.0,Not Verified,Nov-10,Charged Off,wedding,22.64,Sep-00,0,9,0,63.3,20,5%-9%,2-10,60-80,20-37,58k-85k,145-274,5k-10k
23961,6000,6000, 60 months,6.54,117.51,A,A4,6,RENT,30000.0,Source Verified,Nov-10,Charged Off,debt_consolidation,11.0,Oct-01,3,6,0,33.7,14,5%-9%,2-10,20-40,2-20,31k-58k,14-145,5k-10k
23965,23500,14300, 36 months,6.91,440.96,A,A5,3,MORTGAGE,70000.0,Verified,Nov-10,Charged Off,small_business,19.78,Feb-99,2,10,0,60.1,24,5%-9%,2-10,60-80,20-37,58k-85k,403-531,20k-25k
23971,5000,5000, 36 months,10.36,162.19,B,B5,10,MORTGAGE,54000.0,Verified,Nov-10,Charged Off,debt_consolidation,1.89,Oct-00,0,4,0,67.2,21,9%-13%,2-10,60-80,20-37,58k-85k,145-274,0-5k
23979,12000,12000, 60 months,15.57,289.09,D,D5,2,RENT,72000.0,Verified,Nov-10,Charged Off,wedding,13.72,Jun-98,3,6,0,54.9,25,13%-17%,2-10,40-60,20-37,85k-112k,274-403,10k-15k
23989,16000,10250, 60 months,6.91,202.53,A,A5,4,MORTGAGE,60000.0,Verified,Nov-10,Charged Off,other,14.0,Nov-91,4,15,0,15.9,59,5%-9%,10-19,0-20,55-74,58k-85k,145-274,15k-20k
24001,24250,17775, 60 months,18.17,453.02,F,F2,1,RENT,50004.0,Source Verified,Nov-10,Charged Off,debt_consolidation,17.42,Oct-03,0,5,0,77.4,9,17%-21%,2-10,60-80,2-20,58k-85k,403-531,20k-25k
24006,5000,5000, 36 months,6.54,153.34,A,A4,1,RENT,60000.0,Not Verified,Oct-10,Charged Off,small_business,8.38,Apr-87,3,7,0,21.6,13,5%-9%,2-10,20-40,2-20,58k-85k,145-274,0-5k
24011,21250,14450, 60 months,9.99,306.95,B,B4,3,MORTGAGE,64000.0,Not Verified,Nov-10,Charged Off,debt_consolidation,24.66,Jan-96,3,11,0,52.5,28,9%-13%,10-19,40-60,20-37,58k-85k,274-403,20k-25k
24013,25000,16025, 60 months,10.36,343.33,B,B5,2,RENT,95000.0,Verified,Nov-10,Charged Off,debt_consolidation,11.22,Sep-00,1,6,0,35.1,22,9%-13%,2-10,20-40,20-37,112k-140k,274-403,20k-25k
24019,10000,10000, 36 months,12.23,333.25,C,C1,0,RENT,44469.0,Verified,Oct-10,Charged Off,debt_consolidation,16.0,Dec-82,3,11,0,47.0,34,9%-13%,10-19,40-60,20-37,31k-58k,274-403,5k-10k
24030,12000,12000, 60 months,14.46,282.09,D,D2,9,MORTGAGE,50000.0,Not Verified,Oct-10,Charged Off,credit_card,17.61,Jul-96,2,9,0,36.3,20,13%-17%,2-10,20-40,20-37,58k-85k,274-403,10k-15k
24031,25000,15475, 36 months,10.36,501.96,B,B5,10,OWN,80004.0,Source Verified,Nov-10,Charged Off,debt_consolidation,11.55,Aug-98,2,9,0,29.8,38,9%-13%,2-10,20-40,37-55,85k-112k,403-531,20k-25k
24033,25000,25000, 60 months,20.03,662.77,G,G2,1,RENT,75000.0,Verified,Oct-10,Charged Off,major_purchase,23.01,Jun-98,0,11,0,62.0,22,17%-21%,10-19,60-80,20-37,85k-112k,660-789,20k-25k
24045,24250,16125, 60 months,6.91,318.62,A,A5,10,MORTGAGE,42000.0,Verified,Nov-10,Charged Off,home_improvement,6.23,Apr-01,0,6,0,26.1,19,5%-9%,2-10,20-40,2-20,31k-58k,274-403,20k-25k
24050,16000,16000, 60 months,12.23,357.78,C,C1,10,OWN,40000.0,Source Verified,Oct-10,Charged Off,small_business,8.88,Aug-98,7,6,0,15.3,13,9%-13%,2-10,0-20,2-20,31k-58k,274-403,15k-20k
24058,5300,5300, 60 months,12.61,119.54,C,C2,10,MORTGAGE,61000.0,Not Verified,Oct-10,Charged Off,debt_consolidation,15.54,Oct-95,1,11,1,41.9,23,9%-13%,10-19,40-60,20-37,58k-85k,14-145,0-5k
24059,8000,8000, 36 months,6.91,246.69,A,A5,1,RENT,55000.0,Not Verified,Oct-10,Charged Off,debt_consolidation,18.0,Oct-02,2,11,0,28.5,22,5%-9%,10-19,20-40,20-37,58k-85k,145-274,5k-10k
24078,9250,9250, 60 months,12.61,208.63,C,C2,1,OWN,26000.0,Not Verified,Nov-10,Charged Off,other,18.65,May-98,3,4,0,19.3,14,9%-13%,2-10,0-20,2-20,3k-31k,145-274,5k-10k
24101,6000,6000, 60 months,12.23,134.17,C,C1,2,RENT,45000.0,Not Verified,Oct-10,Charged Off,major_purchase,11.41,Sep-00,3,8,0,0.0,22,9%-13%,2-10,0-20,20-37,31k-58k,14-145,5k-10k
24108,3000,3000, 60 months,14.83,71.11,D,D3,5,OWN,20400.0,Source Verified,Nov-10,Charged Off,major_purchase,9.47,Jan-07,0,3,0,82.6,4,13%-17%,2-10,80-100,2-20,3k-31k,14-145,0-5k
24110,24000,16600, 36 months,8.88,526.95,B,B1,3,MORTGAGE,50000.0,Verified,Nov-10,Charged Off,home_improvement,4.32,Mar-03,5,9,0,64.2,19,5%-9%,2-10,60-80,2-20,58k-85k,403-531,20k-25k
24113,15250,12475, 60 months,8.88,258.24,B,B1,1,RENT,24000.0,Verified,Nov-10,Charged Off,major_purchase,11.65,Mar-05,2,4,0,8.1,9,5%-9%,2-10,0-20,2-20,3k-31k,145-274,10k-15k
24118,12000,12000, 60 months,8.88,248.41,B,B1,2,MORTGAGE,72000.0,Source Verified,Oct-10,Charged Off,other,17.6,Feb-94,2,11,0,43.5,32,5%-9%,10-19,40-60,20-37,85k-112k,145-274,10k-15k
24121,2000,2000, 36 months,13.35,67.73,C,C4,1,MORTGAGE,79000.0,Not Verified,Oct-10,Charged Off,home_improvement,18.0,Jul-93,0,11,0,52.8,20,13%-17%,10-19,40-60,20-37,85k-112k,14-145,0-5k
24123,4000,4000, 36 months,13.35,135.46,C,C4,10,MORTGAGE,62400.0,Not Verified,Oct-10,Charged Off,debt_consolidation,20.9,Feb-94,3,2,0,58.5,6,13%-17%,2-10,40-60,2-20,58k-85k,14-145,0-5k
24128,22750,22750, 60 months,18.91,589.03,F,F4,10,MORTGAGE,68000.0,Source Verified,Oct-10,Charged Off,debt_consolidation,23.59,Jan-01,2,14,0,35.2,28,17%-21%,10-19,20-40,20-37,58k-85k,531-660,20k-25k
24132,4000,4000, 60 months,9.62,84.25,B,B3,7,OWN,81000.0,Not Verified,Oct-10,Charged Off,car,16.21,Sep-99,3,20,1,13.6,30,9%-13%,19-27,0-20,20-37,85k-112k,14-145,0-5k
24141,4000,4000, 36 months,14.46,137.61,D,D2,10,RENT,105000.0,Not Verified,Oct-10,Charged Off,credit_card,13.41,Oct-94,2,9,0,98.9,24,13%-17%,2-10,80-100,20-37,112k-140k,14-145,0-5k
24147,18000,18000, 36 months,13.72,612.76,C,C5,10,MORTGAGE,98260.0,Verified,Oct-10,Charged Off,small_business,11.81,Oct-87,3,4,0,74.5,10,13%-17%,2-10,60-80,2-20,112k-140k,531-660,15k-20k
24151,10000,10000, 60 months,14.46,235.08,D,D2,7,MORTGAGE,36000.0,Not Verified,Oct-10,Charged Off,debt_consolidation,20.5,Sep-03,2,8,0,54.8,17,13%-17%,2-10,40-60,2-20,31k-58k,145-274,5k-10k
24162,22000,22000, 60 months,18.91,569.61,F,F4,4,RENT,48000.0,Verified,Oct-10,Charged Off,debt_consolidation,13.55,Sep-03,0,7,0,66.6,9,17%-21%,2-10,60-80,2-20,31k-58k,531-660,20k-25k
24165,15000,15000, 60 months,15.95,364.38,E,E1,10,RENT,53040.0,Source Verified,Oct-10,Charged Off,debt_consolidation,12.83,Apr-97,0,6,0,77.6,28,13%-17%,2-10,60-80,20-37,58k-85k,274-403,10k-15k
24167,9000,9000, 36 months,13.72,306.38,C,C5,0,MORTGAGE,39000.0,Not Verified,Oct-10,Charged Off,debt_consolidation,16.55,Dec-02,1,11,0,51.9,30,13%-17%,10-19,40-60,20-37,31k-58k,274-403,5k-10k
24175,8700,8700, 36 months,12.23,289.93,C,C1,0,MORTGAGE,25200.0,Not Verified,Oct-10,Charged Off,small_business,6.52,May-96,1,2,0,32.7,6,9%-13%,2-10,20-40,2-20,3k-31k,274-403,5k-10k
24176,24000,24000, 36 months,17.8,865.26,F,F1,3,RENT,53000.0,Verified,Oct-10,Charged Off,debt_consolidation,5.41,Nov-96,2,6,0,80.6,18,17%-21%,2-10,80-100,2-20,58k-85k,789-918,20k-25k
24182,14400,14400, 60 months,19.29,375.85,F,F5,9,OWN,44000.0,Not Verified,Oct-10,Charged Off,debt_consolidation,18.05,Feb-99,0,4,0,90.4,16,17%-21%,2-10,80-100,2-20,31k-58k,274-403,10k-15k
24184,8000,8000, 60 months,6.17,155.3,A,A3,6,MORTGAGE,69996.0,Not Verified,Oct-10,Charged Off,other,19.34,Aug-98,1,15,0,21.1,38,5%-9%,10-19,20-40,37-55,58k-85k,145-274,5k-10k
24186,3250,3250, 60 months,6.91,64.22,A,A5,4,MORTGAGE,35000.0,Not Verified,Oct-10,Charged Off,debt_consolidation,21.77,Jun-94,0,15,0,46.6,50,5%-9%,10-19,40-60,37-55,31k-58k,14-145,0-5k
24194,8000,8000, 60 months,6.54,156.68,A,A4,5,RENT,30000.0,Not Verified,Oct-10,Charged Off,moving,7.12,Aug-97,0,5,0,14.3,9,5%-9%,2-10,0-20,2-20,31k-58k,145-274,5k-10k
24200,24250,24250, 60 months,9.62,510.72,B,B3,4,MORTGAGE,65004.0,Verified,Oct-10,Charged Off,debt_consolidation,15.38,Jul-99,1,14,0,37.4,21,9%-13%,10-19,20-40,20-37,58k-85k,403-531,20k-25k
24203,10000,10000, 36 months,14.09,342.22,D,D1,1,RENT,50000.0,Source Verified,Oct-10,Charged Off,debt_consolidation,13.06,Aug-93,0,7,0,45.2,32,13%-17%,2-10,40-60,20-37,58k-85k,274-403,5k-10k
24205,10000,10000, 60 months,16.69,246.87,E,E3,2,RENT,42504.0,Not Verified,Oct-10,Charged Off,debt_consolidation,14.34,Oct-03,2,8,0,83.3,19,13%-17%,2-10,80-100,2-20,31k-58k,145-274,5k-10k
24210,16500,16500, 60 months,6.54,323.16,A,A4,10,MORTGAGE,36566.4,Source Verified,Oct-10,Charged Off,car,24.82,Sep-88,1,18,0,28.6,37,5%-9%,10-19,20-40,37-55,31k-58k,274-403,15k-20k
24213,4200,4200, 36 months,15.2,146.01,D,D4,3,RENT,22560.0,Source Verified,Oct-10,Charged Off,debt_consolidation,11.97,Aug-06,3,4,0,66.6,8,13%-17%,2-10,60-80,2-20,3k-31k,145-274,0-5k
24216,7750,7750, 60 months,5.79,149.08,A,A2,10,MORTGAGE,45444.0,Verified,Oct-10,Charged Off,debt_consolidation,18.93,Dec-94,2,10,0,28.5,32,5%-9%,2-10,20-40,20-37,31k-58k,145-274,5k-10k
24223,12000,12000, 60 months,14.46,282.09,D,D2,10,MORTGAGE,31000.0,Not Verified,Oct-10,Charged Off,other,18.39,Apr-00,3,6,0,18.1,24,13%-17%,2-10,0-20,20-37,31k-58k,274-403,10k-15k
24229,9000,9000, 36 months,6.91,277.53,A,A5,7,RENT,36000.0,Verified,Oct-10,Charged Off,home_improvement,2.37,Apr-03,4,11,0,3.8,24,5%-9%,10-19,0-20,20-37,31k-58k,274-403,5k-10k
24231,10000,10000, 36 months,10.36,324.37,B,B5,5,MORTGAGE,50000.0,Not Verified,Oct-10,Charged Off,debt_consolidation,14.57,Sep-05,0,11,0,37.8,19,9%-13%,10-19,20-40,2-20,58k-85k,274-403,5k-10k
24238,9600,9600, 60 months,17.06,238.9,E,E4,3,RENT,26000.0,Not Verified,Oct-10,Charged Off,debt_consolidation,11.91,Sep-07,0,6,0,60.7,6,17%-21%,2-10,60-80,2-20,3k-31k,145-274,5k-10k
24246,20000,20000, 60 months,9.62,421.22,B,B3,1,OWN,96000.0,Source Verified,Oct-10,Charged Off,debt_consolidation,0.99,Oct-00,1,11,0,9.7,32,9%-13%,10-19,0-20,20-37,112k-140k,403-531,15k-20k
24281,6000,6000, 60 months,10.36,128.55,B,B5,0,RENT,50000.0,Source Verified,Oct-10,Charged Off,small_business,16.63,Jan-00,0,4,0,91.8,9,9%-13%,2-10,80-100,2-20,58k-85k,14-145,5k-10k
24288,6500,6500, 36 months,5.79,197.13,A,A2,2,MORTGAGE,66000.0,Source Verified,Oct-10,Charged Off,debt_consolidation,4.56,Jul-02,0,12,0,15.0,26,5%-9%,10-19,0-20,20-37,58k-85k,145-274,5k-10k
24290,6000,6000, 60 months,10.36,128.55,B,B5,10,RENT,32100.0,Source Verified,Oct-10,Charged Off,debt_consolidation,18.84,Jan-96,0,7,0,94.4,18,9%-13%,2-10,80-100,2-20,31k-58k,14-145,5k-10k
24304,6000,6000, 60 months,6.54,117.51,A,A4,10,OWN,70000.0,Source Verified,Oct-10,Charged Off,renewable_energy,0.43,Aug-99,0,5,0,3.7,12,5%-9%,2-10,0-20,2-20,58k-85k,14-145,5k-10k
24305,10000,10000, 36 months,14.09,342.22,D,D1,3,RENT,75000.0,Verified,Oct-10,Charged Off,debt_consolidation,14.74,Apr-90,3,12,0,31.1,27,13%-17%,10-19,20-40,20-37,85k-112k,274-403,5k-10k
24306,16000,16000, 60 months,12.61,360.87,C,C2,4,MORTGAGE,55000.0,Not Verified,Oct-10,Charged Off,other,19.7,Oct-98,1,8,0,97.1,26,9%-13%,2-10,80-100,20-37,58k-85k,274-403,15k-20k
24325,8000,8000, 60 months,16.69,197.49,E,E3,0,RENT,20400.0,Source Verified,Oct-10,Charged Off,vacation,13.0,Feb-02,2,4,0,83.7,13,13%-17%,2-10,80-100,2-20,3k-31k,145-274,5k-10k
24328,7000,7000, 36 months,9.62,224.63,B,B3,6,RENT,30000.0,Not Verified,Oct-10,Charged Off,vacation,10.32,Aug-02,3,6,0,0.0,17,9%-13%,2-10,0-20,2-20,31k-58k,145-274,5k-10k
24333,1000,1000, 36 months,16.69,35.5,E,E3,2,RENT,14400.0,Not Verified,Oct-10,Charged Off,credit_card,15.67,Sep-07,1,3,0,81.2,8,13%-17%,2-10,80-100,2-20,3k-31k,14-145,0-5k
24344,7000,7000, 60 months,9.62,147.43,B,B3,6,OWN,19200.0,Source Verified,Oct-10,Charged Off,debt_consolidation,7.4,Oct-84,1,12,0,87.2,12,9%-13%,10-19,80-100,2-20,3k-31k,145-274,5k-10k
24350,17100,17100, 60 months,10.36,366.37,B,B5,1,RENT,75000.0,Source Verified,Oct-10,Charged Off,debt_consolidation,19.61,Jan-01,2,4,0,27.4,9,9%-13%,2-10,20-40,2-20,85k-112k,274-403,15k-20k
24353,16000,16000, 60 months,6.91,316.15,A,A5,2,MORTGAGE,47500.0,Source Verified,Oct-10,Charged Off,debt_consolidation,10.64,May-01,0,11,0,68.4,18,5%-9%,10-19,60-80,2-20,31k-58k,274-403,15k-20k
24365,21500,21500, 36 months,6.91,662.98,A,A5,0,RENT,82000.0,Not Verified,Oct-10,Charged Off,credit_card,21.82,Jul-95,0,14,0,19.4,30,5%-9%,10-19,0-20,20-37,85k-112k,660-789,20k-25k
24387,6300,6300, 60 months,6.54,123.39,A,A4,3,RENT,30096.0,Verified,Oct-10,Charged Off,other,7.81,Jun-00,3,10,0,0.0,23,5%-9%,2-10,0-20,20-37,31k-58k,14-145,5k-10k
24406,11400,11400, 36 months,6.91,351.53,A,A5,1,RENT,35000.0,Verified,Oct-10,Charged Off,debt_consolidation,9.87,Apr-96,0,6,1,50.4,17,5%-9%,2-10,40-60,2-20,31k-58k,274-403,10k-15k
24413,8000,8000, 60 months,8.88,165.61,B,B1,10,RENT,40000.0,Not Verified,Oct-10,Charged Off,debt_consolidation,13.1,Dec-93,0,6,0,59.2,9,5%-9%,2-10,40-60,2-20,31k-58k,145-274,5k-10k
24420,10000,10000, 60 months,12.23,223.61,C,C1,2,RENT,31000.0,Verified,Oct-10,Charged Off,credit_card,24.07,May-05,2,6,0,67.2,8,9%-13%,2-10,60-80,2-20,31k-58k,145-274,5k-10k
24433,11000,11000, 36 months,13.72,374.46,C,C5,2,RENT,30720.0,Verified,Oct-10,Charged Off,debt_consolidation,18.52,Apr-05,1,6,0,78.4,8,13%-17%,2-10,60-80,2-20,31k-58k,274-403,10k-15k
24437,10000,10000, 36 months,6.54,306.68,A,A4,6,MORTGAGE,92040.0,Verified,Oct-10,Charged Off,credit_card,10.07,Dec-96,3,15,0,34.0,32,5%-9%,10-19,20-40,20-37,85k-112k,274-403,5k-10k
24440,5000,5000, 60 months,17.06,124.43,E,E4,4,RENT,26500.0,Not Verified,Oct-10,Charged Off,debt_consolidation,0.0,Apr-07,1,2,0,0.0,4,17%-21%,2-10,0-20,2-20,31k-58k,14-145,0-5k
24441,3000,3000, 36 months,12.23,99.98,C,C1,3,RENT,56000.04,Source Verified,Oct-10,Charged Off,debt_consolidation,5.72,Apr-00,1,7,1,85.5,13,9%-13%,2-10,80-100,2-20,58k-85k,14-145,0-5k
24467,12000,12000, 60 months,14.46,282.09,D,D2,6,RENT,50000.0,Source Verified,Oct-10,Charged Off,credit_card,13.27,Mar-90,1,9,0,80.6,15,13%-17%,2-10,80-100,2-20,58k-85k,274-403,10k-15k
24469,2400,2400, 60 months,12.61,54.13,C,C2,5,MORTGAGE,21600.0,Not Verified,Oct-10,Charged Off,renewable_energy,12.5,Aug-05,0,5,0,51.1,11,9%-13%,2-10,40-60,2-20,3k-31k,14-145,0-5k
24473,8000,8000, 60 months,12.61,180.44,C,C2,10,MORTGAGE,55000.0,Verified,Oct-10,Charged Off,debt_consolidation,10.95,Dec-94,0,9,0,64.3,25,9%-13%,2-10,60-80,20-37,58k-85k,145-274,5k-10k
24482,7000,7000, 36 months,10.36,227.06,B,B5,4,MORTGAGE,37417.0,Not Verified,Oct-10,Charged Off,debt_consolidation,11.19,Aug-98,2,13,0,75.0,38,9%-13%,10-19,60-80,37-55,31k-58k,145-274,5k-10k
24487,7000,7000, 36 months,8.88,222.21,B,B1,9,OWN,87504.0,Verified,Oct-10,Charged Off,debt_consolidation,16.76,Mar-93,3,17,0,41.5,50,5%-9%,10-19,40-60,37-55,85k-112k,145-274,5k-10k
24492,25000,25000, 36 months,17.56,898.31,E,E4,1,MORTGAGE,106000.0,Source Verified,Oct-10,Charged Off,home_improvement,14.0,May-94,0,7,0,98.2,31,17%-21%,2-10,80-100,20-37,112k-140k,789-918,20k-25k
24517,15000,15000, 60 months,11.86,332.61,B,B5,4,MORTGAGE,79000.0,Verified,Oct-10,Charged Off,debt_consolidation,5.09,Jun-96,0,5,0,47.4,23,9%-13%,2-10,40-60,20-37,85k-112k,274-403,10k-15k
24520,1200,1200, 36 months,14.35,41.22,C,C4,10,MORTGAGE,54996.0,Not Verified,Oct-10,Charged Off,other,24.48,Dec-98,1,9,0,96.4,25,13%-17%,2-10,80-100,20-37,58k-85k,14-145,0-5k
24525,15000,9700, 60 months,12.61,218.78,C,C2,5,RENT,33600.0,Source Verified,Oct-10,Charged Off,small_business,8.04,Jun-03,0,3,0,0.4,20,9%-13%,2-10,0-20,20-37,31k-58k,145-274,10k-15k
24526,14000,8450, 60 months,12.61,190.59,C,C2,1,MORTGAGE,65004.0,Verified,Oct-10,Charged Off,debt_consolidation,13.88,Dec-76,1,21,0,63.0,33,9%-13%,19-27,60-80,20-37,58k-85k,145-274,10k-15k
24530,12000,12000, 60 months,11.86,266.09,B,B5,4,RENT,57600.0,Source Verified,Oct-10,Charged Off,medical,1.05,Jul-03,0,4,0,15.5,10,9%-13%,2-10,0-20,2-20,58k-85k,145-274,10k-15k
